PMDB,PT,PSDB,PP,PR,PSD,PSB,DEM,PRB,PDT,PTB,SD,PTN,PCdoB,PSC,PPS,PHS,PV,PSOL,PROS,REDE,PTdoB,PEN,PSL,PMB,PRP,ano,municipio_codigo,cargo_codigo,partido_codigo,coligacao,populacao,latitude,longitude,estado,municipio,cargo,tipo,partido,coligacao_nome,coligacao_partidos,codigo_ibge,pobres,idhm,rendapercapita,candidaturas_mun
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2016,71854,11,,1,4732,-23.342501,-49.3722,SP,TEJUPÁ,PREFEITO,COLIGACAO,PT,DE MÃOS DADAS COM O POVO,PT / PPS / PR / PV,,,,,3
0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2016,71870,11,,1,21135,-22.5299,-52.168201,SP,TEODORO SAMPAIO,PREFEITO,COLIGACAO,PP,RESPEITO E CIDADANIA,PP / PR / PPS / PSB / PV / PSDB / PDT,,,,,3
1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2016,71870,11,,1,21135,-22.5299,-52.168201,SP,TEODORO SAMPAIO,PREFEITO,COLIGACAO,PSD,UNIÃO E PROGRESSO,PSD / PMDB / PRB / PMB / PHS / PSC,,,,,3
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,71870,11,,1,21135,-22.5299,-52.168201,SP,TEODORO SAMPAIO,PREFEITO,COLIGACAO,PT,A FORÇA DAS NOVAS IDEIAS,PT / DEM,,,,,3
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,71897,11,,1,8475,-20.787001,-48.331402,SP,TERRA ROXA,PREFEITO,COLIGACAO,PTB,UMA NOVA HISTORIA JUNTO COM O POVO,PTB / PT,,,,,2
1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,2016,71897,11,,1,8475,-20.787001,-48.331402,SP,TERRA ROXA,PREFEITO,COLIGACAO,PP,JUNTOS SUPERANDO DESAFIOS,PP / PDT / PMDB / PTN / PSC / PHS / DEM / PV / PRP / PSD / PSDB / SD,,,,,2
1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,2016,71919,11,,1,36630,-23.1101,-47.7164,SP,TIETÊ,PREFEITO,COLIGACAO,DEM,EU AMO TIETÊ - NOSSA CIDADE CADA VEZ MELHOR!,DEM / PSD / PC do B / PP / PPS / PSB / PMDB / PROS / PRP / PSC / PTN,,,,,4
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,71919,11,77,0,36630,-23.1101,-47.7164,SP,TIETÊ,PREFEITO,PARTIDO ISOLADO,SD,#NULO#,SD,3554508,3.3,.778,927.25,4
0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,71919,11,,1,36630,-23.1101,-47.7164,SP,TIETÊ,PREFEITO,COLIGACAO,PRB,TIETE PARA TODOS,PRB / PDT / PSDC / PR / PRTB / PEN,,,,,4
0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2016,71919,11,,1,36630,-23.1101,-47.7164,SP,TIETÊ,PREFEITO,COLIGACAO,PSDB,UNIDOS POR TIETÊ,PSDB / PSL / PT do B / PTB / PHS / PV,,,,,4
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,71935,11,,1,2621,-23.2057,-49.6096,SP,TIMBURI,PREFEITO,COLIGACAO,PMDB,TIMBURI DE NOVO COM A FORÇA DO POVO,PMDB / PTB / PT,,,,,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016,71935,11,43,0,2621,-23.2057,-49.6096,SP,TIMBURI,PREFEITO,PARTIDO ISOLADO,PV,#NULO#,PV,3554607,9.2399998,.70999998,580.23999,5
